"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"0","138","90","100","0","","305","2019-11-05","96","0"
"0","138","89","100","0","","306","2019-11-05","96","0"
"0","138","16","100","0","","307","2019-11-05","96","0"
"33","138","16","69.47","1","","308","2019-11-05","96","0"
"33","138","89","47.37","2","","309","2019-11-05","96","0"
"33","138","90","100","0","","310","2019-11-05","96","0"
"33","138","91","100","0","","311","2019-11-05","96","0"
"33","138","123","100","0","","312","2019-11-05","96","0"
"33","138","124","100","0","","313","2019-11-05","96","0"
"34","128","121","0","0","","314","","0","0"
"34","131","121","100","0","","315","","0","0"
"34","138","16","100","0","","316","","0","0"
"34","138","89","100","0","","317","","0","0"
"34","138","90","100","0","","318","","0","0"
"34","138","91","100","0","","319","","0","0"
"34","138","123","100","0","","320","","0","0"
"34","138","124","100","0","","321","","0","0"
"0","28","125","100","0","","322","2019-12-04","23","0"
"0","57","128","150","0","","323","2020-03-11","11","0"
"0","57","129","150","0","","324","2020-03-11","11","0"
"0","57","130","150","0","","325","2020-03-11","11","0"
"0","57","131","150","0","","326","2020-03-11","11","0"
"0","57","132","150","0","","327","2020-03-11","11","0"
"0","57","133","150","0","","328","2020-03-11","11","0"
"0","57","134","150","0","","329","2020-03-11","11","0"
"0","57","135","150","0","","330","2020-03-11","11","0"
"0","142","130","150","0","","331","2020-03-11","11","0"
"35","142","130","75.79","2","","332","2020-03-11","11","0"
"0","144","16","150","0","","333","2020-05-06","2","0"
"36","144","16","126.32","2","- Los procesos han cambiado radicalmente desde su última versión lo cual puede generar impacto en los colaboradores que no los conocen por falta de diseminación.","336","2020-05-06","2","0"
"0","146","16","150","0","","337","2020-05-08","255","0"
"38","146","16","52.11","2","","343","2020-05-08","255","0"
"0","148","84","150","0","","344","2020-05-15","2","0"
"0","151","136","150","0","","345","2020-05-19","2","0"
"0","151","137","150","0","","346","2020-05-19","2","0"
"39","151","136","53.68","2","Comentarios","349","2020-05-19","2","0"
"39","151","137","48.95","2","","350","2020-05-19","2","0"
"0","152","138","150","0","","351","2020-05-19","247","0"
"0","152","138","32.5","0","","352","2020-05-19","247","0"
"0","152","139","150","0","","353","2020-05-19","247","0"
"0","153","140","150","0","","354","2020-05-19","247","0"
"40","152","139","118.3","2","La auditoria fue exitosa","364","2020-05-26","2","0"
"41","153","140","40.98","2","","372","2020-05-22","243","0"
"0","152","124","150","0","","373","2020-06-29","2","0"
